traj	protein	assign	type	class
YKL154W_17	YKL154W	b2	best	a2/b2
YKL154W_66	YKL154W	a2_b2	multi	a2/b2
YKL154W_44	YKL154W	b5_none	multi	a4/b5
YKL154W_07	YKL154W	a2_b2	multi	a2/b2
YKL154W_29	YKL154W	a4_b5	multi	a4/b5
YKL154W_56	YKL154W	a2	best	a2/b2
YKL154W_34	YKL154W	a2_b2	multi	a2/b2
YBR264C_51	YBR264C	a2_b2	multi	a2/b2
YBR264C_41	YBR264C	a2_b2	multi	a2/b2
YBR264C_67	YBR264C	a2_b2	multi	a2/b2
YBR264C_56	YBR264C	a2_b2	multi	a2/b2
YBR264C_53	YBR264C	a2_b2	multi	a2/b2
YBR264C_48	YBR264C	a5_b4	multi	a5
YBR264C_21	YBR264C	a2_b2	multi	a2/b2
YBR264C_29	YBR264C	a2_b2	multi	a2/b2
YBR264C_35	YBR264C	a2_b2	multi	a2/b2
YBR264C_49	YBR264C	b2	best	a2/b2
YBR264C_26	YBR264C	a2_b2	multi	a2/b2
YBR264C_33	YBR264C	b2	best	a2/b2
YBR264C_27	YBR264C	a2_b2	multi	a2/b2
YBR264C_66	YBR264C	a2	best	a2/b2
YBR264C_05	YBR264C	a2_b2	multi	a2/b2
YBR264C_25	YBR264C	a2_b2	multi	a2/b2
YBR264C_22	YBR264C	a2_b2	multi	a2/b2
YBR264C_69	YBR264C	a2_b2	multi	a2/b2
YBR264C_11	YBR264C	a2_b2	multi	a2/b2
YBR264C_52	YBR264C	a2_b2	multi	a2/b2
YBR264C_20	YBR264C	a2_b2	multi	a2/b2
YBR264C_23	YBR264C	a5	best	a5
YBR264C_18	YBR264C	a2_b2	multi	a2/b2
YBR264C_09	YBR264C	a5_b6	multi	a5
YBR264C_42	YBR264C	a2_b2	multi	a2/b2
YBR264C_40	YBR264C	a5_b2	first	other
YBR264C_13	YBR264C	a2_b2	multi	a2/b2
YBR264C_31	YBR264C	a2_b2	multi	a2/b2
YBR264C_19	YBR264C	a2_b2	multi	a2/b2
YBR264C_50	YBR264C	a2_b2	multi	a2/b2
YBR264C_38	YBR264C	a2_b2	multi	a2/b2
YBR264C_28	YBR264C	a2_b2	multi	a2/b2
YBR264C_16	YBR264C	a1	best	a1
YBR264C_01	YBR264C	b2	best	a2/b2
YBR264C_59	YBR264C	a3_a4	multi	a3
YBR264C_61	YBR264C	a2_b2	multi	a2/b2
YBR264C_06	YBR264C	a2_b2	multi	a2/b2
YBR264C_60	YBR264C	a2_b2	multi	a2/b2
YBR264C_44	YBR264C	a1_a5	multi	a5
YBR264C_64	YBR264C	b2	best	a2/b2
YBR264C_34	YBR264C	a2_b2	multi	a2/b2
YBR264C_30	YBR264C	a2_b2	multi	a2/b2
YBR264C_68	YBR264C	a5	best	a5
YBR264C_43	YBR264C	a2_b2	multi	a2/b2
YBR264C_12	YBR264C	a1_a5	multi	a5
YBR264C_70	YBR264C	a2_b2	multi	a2/b2
YBR264C_54	YBR264C	a2_b2	multi	a2/b2
YBR264C_37	YBR264C	a2_b2	multi	a2/b2
YBR264C_15	YBR264C	a2_b2	multi	a2/b2
YBR264C_47	YBR264C	a2_b2	multi	a2/b2
YBR264C_10	YBR264C	a2_b2	multi	a2/b2
YBR264C_62	YBR264C	a2_b2	multi	a2/b2
YBR264C_17	YBR264C	a2_b2	multi	a2/b2
YBR264C_07	YBR264C	a5	best	a5
YBR264C_39	YBR264C	a2_b2	multi	a2/b2
YBR264C_65	YBR264C	a2_b2	multi	a2/b2
YBR264C_63	YBR264C	a2_b2	multi	a2/b2
YBR264C_24	YBR264C	a2_b2	multi	a2/b2
YBR264C_14	YBR264C	b1_b2	multi	a2/b2
YBR264C_02	YBR264C	a2_b2	multi	a2/b2
YBR264C_58	YBR264C	b1_b2	multi	a2/b2
YBR264C_08	YBR264C	a5	best	a5
YBR264C_03	YBR264C	a2_b2	multi	a2/b2
YBR264C_46	YBR264C	a2_b2	multi	a2/b2
YBR264C_04	YBR264C	a2_b2	multi	a2/b2
YLR293C_13	YLR293C	a5	best	a5
YLR293C_32	YLR293C	b1_b2	multi	a2/b2
YLR293C_09	YLR293C	a1_b3	multi	a1
YLR293C_29	YLR293C	a2_b2	multi	a2/b2
YLR293C_27	YLR293C	a2_b2	multi	a2/b2
YLR293C_39	YLR293C	a1_a5	multi	a5
YLR293C_69	YLR293C	a2_b2	multi	a2/b2
YLR293C_56	YLR293C	a2_b2	multi	a2/b2
YLR293C_65	YLR293C	b2	best	a2/b2
YLR293C_52	YLR293C	b1_b2	multi	a2/b2
YLR293C_44	YLR293C	a2_b2	multi	a2/b2
YLR293C_03	YLR293C	a2_b2	multi	a2/b2
YLR293C_24	YLR293C	a2_b2	multi	a2/b2
YLR293C_68	YLR293C	a1_b3	multi	a1
YLR293C_22	YLR293C	a2_b2	multi	a2/b2
YLR293C_02	YLR293C	a2_b2	multi	a2/b2
YLR293C_63	YLR293C	a5_b4	multi	a5
YLR293C_05	YLR293C	a1	best	a1
YLR293C_06	YLR293C	a5	best	a5
YLR293C_67	YLR293C	a3	best	a3
YLR293C_17	YLR293C	a2_b2	multi	a2/b2
YLR293C_40	YLR293C	b1	best	other
YLR293C_55	YLR293C	a5	best	a5
YLR293C_23	YLR293C	a1_b2	multi	a1
YLR293C_11	YLR293C	a3_none	first	a3
YLR293C_14	YLR293C	a5	best	a5
YLR293C_36	YLR293C	a5	best	a5
YLR293C_10	YLR293C	a5	best	a5
YLR293C_31	YLR293C	a2_b2	multi	a2/b2
YLR293C_42	YLR293C	a1_b2	multi	a1
YLR293C_15	YLR293C	a2_b2	multi	a2/b2
YLR293C_66	YLR293C	a1_a5	multi	a5
YLR293C_30	YLR293C	a2_b2	multi	a2/b2
YLR293C_34	YLR293C	a2_b2	multi	a2/b2
YLR293C_50	YLR293C	a2_b2	multi	a2/b2
YLR293C_28	YLR293C	a5	best	a5
YLR293C_38	YLR293C	a1_b2	multi	a1
YLR293C_45	YLR293C	a2_b2	multi	a2/b2
YLR293C_04	YLR293C	b5	best	a4/b5
YLR293C_59	YLR293C	a2_b2	multi	a2/b2
YLR293C_26	YLR293C	a1_b2	multi	a1
YLR293C_57	YLR293C	a2_b2	multi	a2/b2
YLR293C_61	YLR293C	a5_b4	multi	a5
YLR293C_53	YLR293C	a2_b2	multi	a2/b2
YLR293C_33	YLR293C	a2_b2	multi	a2/b2
YLR293C_18	YLR293C	a1_b2	multi	a1
YLR293C_62	YLR293C	a2_b2	multi	a2/b2
YLR293C_01	YLR293C	b2	best	a2/b2
YLR293C_20	YLR293C	a2_b2	multi	a2/b2
YLR293C_60	YLR293C	a5_b3	first	other
YLR293C_48	YLR293C	a5_b4	multi	a5
YLR293C_47	YLR293C	a3	best	a3
YLR293C_37	YLR293C	a1	best	a1
YLR293C_43	YLR293C	a5_b2	first	other
YLR293C_46	YLR293C	a2_b2	multi	a2/b2
YLR293C_41	YLR293C	a5_b4	multi	a5
YOR185C_06	YOR185C	a1	best	a1
YOR185C_36	YOR185C	a1_a5	multi	a5
YOR185C_24	YOR185C	a2_b2	multi	a2/b2
YOR185C_63	YOR185C	a5	best	a5
YOR185C_03	YOR185C	a5	best	a5
YOR185C_43	YOR185C	b1_b2	multi	a2/b2
YOR185C_35	YOR185C	a5_b4	multi	a5
YOR185C_11	YOR185C	a1_b2	multi	a1
YOR185C_51	YOR185C	a2_b2	multi	a2/b2
YOR185C_42	YOR185C	a2_b2	multi	a2/b2
YOR185C_33	YOR185C	a2_b2	multi	a2/b2
YOR185C_52	YOR185C	a5	best	a5
YOR185C_02	YOR185C	a2_b2	multi	a2/b2
YOR185C_70	YOR185C	a2_b2	multi	a2/b2
YOR185C_60	YOR185C	a2_b2	multi	a2/b2
YOR185C_31	YOR185C	a2_b2	multi	a2/b2
YOR185C_08	YOR185C	b2	best	a2/b2
YOR185C_58	YOR185C	a2_b2	multi	a2/b2
YOR185C_39	YOR185C	a3_a4	multi	a3
YOR185C_41	YOR185C	a5	best	a5
YOR185C_45	YOR185C	a1_b2	multi	a1
YOR185C_13	YOR185C	a5_b4	multi	a5
YOR185C_56	YOR185C	a1	best	a1
YOR185C_01	YOR185C	a2_b2	multi	a2/b2
YOR185C_53	YOR185C	a2_b2	multi	a2/b2
YOR185C_29	YOR185C	a2_b2	multi	a2/b2
YOR185C_65	YOR185C	a5	best	a5
YOR185C_28	YOR185C	a2_b2	multi	a2/b2
YOR185C_59	YOR185C	a2_b2	multi	a2/b2
YOR185C_25	YOR185C	a2_b2	multi	a2/b2
YOR185C_22	YOR185C	a2_b2	multi	a2/b2
YOR185C_49	YOR185C	a2_b2	multi	a2/b2
YOR185C_57	YOR185C	a2_b2	multi	a2/b2
YOR185C_67	YOR185C	a2_b2	multi	a2/b2
YOR185C_19	YOR185C	a2_b2	multi	a2/b2
YOR185C_23	YOR185C	a2_b2	first	a2/b2
YOR185C_62	YOR185C	a5	best	a5
YOR185C_66	YOR185C	a2_b2	multi	a2/b2
YOR185C_20	YOR185C	a1_b3	multi	a1
YOR185C_37	YOR185C	a2_b2	multi	a2/b2
YOR185C_14	YOR185C	a2_b2	multi	a2/b2
YOR185C_12	YOR185C	a5	best	a5
YOR185C_16	YOR185C	a2_b2	multi	a2/b2
YOR185C_34	YOR185C	a2_b2	multi	a2/b2
YOR185C_40	YOR185C	a2_b2	multi	a2/b2
YOR185C_26	YOR185C	a1_b2	multi	a1
YOR185C_69	YOR185C	a2_b2	multi	a2/b2
YOR185C_50	YOR185C	a5	best	a5
YOR185C_44	YOR185C	b2	best	a2/b2
YOR185C_15	YOR185C	a2_b2	multi	a2/b2
YOR185C_09	YOR185C	b2	best	a2/b2
YBR164C_13	YBR164C	b2	best	a2/b2
YBR164C_53	YBR164C	a2_b2	multi	a2/b2
YBR164C_52	YBR164C	a5	best	a5
YBR164C_43	YBR164C	a3_a4	multi	a3
YBR164C_04	YBR164C	a2_b2	multi	a2/b2
YBR164C_03	YBR164C	a1_none	multi	a1
YBR164C_46	YBR164C	a3	best	a3
YBR164C_10	YBR164C	a1_none	multi	a1
YBR164C_01	YBR164C	a1_a5	multi	a5
YBR164C_47	YBR164C	a5	best	a5
YBR164C_59	YBR164C	a5_b4	multi	a5
YBR164C_49	YBR164C	a5	best	a5
YBR164C_28	YBR164C	a1_a5	multi	a5
YBR164C_37	YBR164C	a4_b5	multi	a4/b5
YBR164C_44	YBR164C	a5	best	a5
YBR164C_11	YBR164C	a1_a5	multi	a5
YBR164C_27	YBR164C	b5	best	a4/b5
YBR164C_56	YBR164C	a5_b4	multi	a5
YBR164C_38	YBR164C	a5_b4	multi	a5
YBR164C_06	YBR164C	b5_none	multi	a4/b5
YBR164C_15	YBR164C	b6	best	other
YBR164C_33	YBR164C	b1	best	other
YBR164C_51	YBR164C	a5_b4	multi	a5
YBR164C_14	YBR164C	a5_b4	multi	a5
YBR164C_08	YBR164C	a1_none	multi	a1
YBR164C_48	YBR164C	a1_none	multi	a1
YBR164C_57	YBR164C	a1_b2	multi	a1
YBR164C_62	YBR164C	a3	best	a3
YBR164C_70	YBR164C	a3	best	a3
YNL090W_36	YNL090W	a3_a4	multi	a3
YNL090W_17	YNL090W	a2_b2	multi	a2/b2
YNL090W_11	YNL090W	a5	best	a5
YNL090W_19	YNL090W	a3	best	a3
YNL090W_42	YNL090W	a1_a5	multi	a5
YNL090W_32	YNL090W	a5_b4	multi	a5
YNL090W_28	YNL090W	a5	best	a5
YNL090W_57	YNL090W	a5	best	a5
YNL090W_67	YNL090W	a3_a4	multi	a3
YNL090W_51	YNL090W	a5	best	a5
YNL090W_37	YNL090W	a2_b2	multi	a2/b2
YNL090W_50	YNL090W	a1_a5	multi	a5
YNL090W_66	YNL090W	a3_a4	multi	a3
YNL090W_03	YNL090W	a1_a5	multi	a5
YNL090W_22	YNL090W	b1_b2	multi	a2/b2
YNL090W_60	YNL090W	a3	best	a3
YNL090W_06	YNL090W	a3_a4	multi	a3
YNL090W_56	YNL090W	a2_b2	multi	a2/b2
YNL090W_21	YNL090W	a3_a4	multi	a3
YNL090W_62	YNL090W	a5	best	a5
YNL090W_09	YNL090W	a3_a4	multi	a3
YNL090W_15	YNL090W	a2_b2	multi	a2/b2
YNL090W_64	YNL090W	a3	best	a3
YNL090W_12	YNL090W	a5	best	a5
YNL090W_05	YNL090W	a3_a4	multi	a3
YNL090W_20	YNL090W	a2_b2	multi	a2/b2
YNL090W_44	YNL090W	a5	best	a5
YNL090W_24	YNL090W	a1_b2	multi	a1
YNL090W_25	YNL090W	a5_b4	multi	a5
YNL090W_43	YNL090W	b6_none	first	other
YNL090W_40	YNL090W	a1_none	multi	a1
YNL090W_54	YNL090W	a1_b2	multi	a1
YNL090W_68	YNL090W	a3_a4	multi	a3
YNL090W_30	YNL090W	a4	best	a4/b5
YNL090W_01	YNL090W	a5	best	a5
YNL090W_23	YNL090W	a3_a4	multi	a3
YNL090W_65	YNL090W	a5	best	a5
YNL090W_02	YNL090W	a5	best	a5
YNL090W_61	YNL090W	a1_b2	multi	a1
YNL090W_41	YNL090W	a3_a4	multi	a3
YNL090W_46	YNL090W	a2_b2	multi	a2/b2
YNL090W_58	YNL090W	a1	best	a1
YNL090W_55	YNL090W	a4_b4	multi	a4/b5
YNL090W_33	YNL090W	a1_a5	multi	a5
YNL090W_48	YNL090W	a4_b5	multi	a4/b5
YNL090W_49	YNL090W	a2_b2	multi	a2/b2
YNL090W_16	YNL090W	a1_b3	multi	a1
YMR138W_22	YMR138W	a5_b4	multi	a5
YMR138W_66	YMR138W	a5	best	a5
YMR138W_24	YMR138W	a3_a4	multi	a3
YMR138W_46	YMR138W	a5	best	a5
YMR138W_42	YMR138W	a2_b2	multi	a2/b2
YMR138W_49	YMR138W	b5	best	a4/b5
YMR138W_11	YMR138W	a5_b4	multi	a5
YMR138W_17	YMR138W	a3	best	a3
YMR138W_37	YMR138W	a3_a4	multi	a3
YMR138W_19	YMR138W	a2_b2	multi	a2/b2
YMR138W_31	YMR138W	a2_a3	multi	a3
YMR138W_21	YMR138W	a5	best	a5
YMR138W_62	YMR138W	a2_b2	multi	a2/b2
YMR138W_35	YMR138W	a5	best	a5
YMR138W_18	YMR138W	a5_b4	multi	a5
YMR138W_03	YMR138W	a5_b4	multi	a5
YMR138W_07	YMR138W	a3	best	a3
YMR138W_53	YMR138W	a3/b4	best	a3
YMR138W_69	YMR138W	a2_b2	multi	a2/b2
YMR138W_15	YMR138W	a2_a3	multi	a3
YMR138W_67	YMR138W	b5_b6	multi	other
YMR138W_41	YMR138W	a3_a4	multi	a3
YMR138W_43	YMR138W	a5_b6	multi	a5
YMR138W_55	YMR138W	b1	best	other
YMR138W_12	YMR138W	a5_b4	multi	a5
YMR138W_44	YMR138W	a3_a4	multi	a3
YMR138W_23	YMR138W	a5_b4	multi	a5
YMR138W_64	YMR138W	a2_b2	multi	a2/b2
YMR138W_05	YMR138W	b2	best	a2/b2
YMR138W_51	YMR138W	a3	best	a3
YMR138W_08	YMR138W	a2_b2	multi	a2/b2
YMR138W_45	YMR138W	a5_b6	multi	a5
YMR138W_10	YMR138W	a1_a5	multi	a5
YMR138W_38	YMR138W	a5_b4	multi	a5
YMR138W_65	YMR138W	a1_b2	multi	a1
YMR138W_56	YMR138W	b5	best	a4/b5
YMR138W_04	YMR138W	a1_a5	multi	a5
YMR138W_09	YMR138W	a3_a4	multi	a3
YMR138W_48	YMR138W	a3	best	a3
YMR138W_34	YMR138W	a5_b4	multi	a5
YMR138W_33	YMR138W	a2_b2	multi	a2/b2
YMR138W_29	YMR138W	a3	best	a3
YMR138W_26	YMR138W	a5_b4	multi	a5
YMR138W_58	YMR138W	a1_none	multi	a1
YMR138W_30	YMR138W	b2	best	a2/b2
YMR138W_06	YMR138W	a3	best	a3
YMR138W_59	YMR138W	a5	best	a5
YMR138W_54	YMR138W	a5_b4	multi	a5
YMR138W_63	YMR138W	a2_b2	multi	a2/b2
YMR138W_02	YMR138W	a5	best	a5
YMR138W_27	YMR138W	a5	best	a5
YMR138W_36	YMR138W	a1_a5	multi	a5
YMR138W_68	YMR138W	b5	best	a4/b5
YMR138W_32	YMR138W	a1_none	multi	a1
YMR138W_39	YMR138W	a3_a4	multi	a3
YMR138W_60	YMR138W	a3	best	a3
YMR138W_52	YMR138W	a5	best	a5
YMR138W_28	YMR138W	a3	best	a3
YMR138W_16	YMR138W	a5	best	a5
YMR138W_70	YMR138W	a5_b4	multi	a5
YMR138W_25	YMR138W	a5_b4	multi	a5
YMR138W_57	YMR138W	a3_a4	multi	a3
YMR138W_14	YMR138W	a2_a3	multi	a3
YMR138W_61	YMR138W	a3	best	a3
YMR138W_50	YMR138W	a1_a5	multi	a5
YMR138W_01	YMR138W	a5	best	a5
